Source,Target,Weight
numpy,scipy,790
numpy,pandas,430
matplotlib,numpy,384
matplotlib,pandas,288
matplotlib,scipy,146
pyqt4,pyqt,146
virtualenv,pip,138
csv,pandas,126
pandas,datetime,104
regex,string,92
numpy,cython,92
numpy,scikit-learn,90
numpy,opencv,86
pip,setuptools,64
matplotlib,ipython,62
pyside,pyqt,62
setuptools,distutils,60
pandas,scikit-learn,60
numpy,math,60
pandas,ipython,56
ipython,jupyter,54
csv,numpy,54
time,datetime,50
pandas,scipy,50
matplotlib,tkinter,44
pip,numpy,44
random,numpy,44
numpy,multiprocessing,42
matplotlib,heatmap,38
datetime,pytz,36
numpy,tensorflow,36
pandas,json,34
queue,multiprocessing,34
scipy,scikit-learn,34
pandas,statsmodels,30
pytables,pandas,30
pandas,string,30
numba,numpy,30
multiprocessing,pickle,28
matplotlib,networkx,28
math,scipy,28
simplejson,json,26
numpy,h5py,24
matplotlib,pyqt,24
numpy,datetime,24
numpy,sympy,24
smtplib,email,22
numpy,statsmodels,20
pip,distutils,20
numpy,pytables,20
numpy,pickle,20
pandas,sqlalchemy,20
cython,distutils,20
matplotlib,datetime,20
regex,html,20
numpy,ctypes,18
pyqt4,pyside,18
csv,json,16
matplotlib,opencv,16
lxml,html,16
scipy,ode,16
scipy,sympy,16
matplotlib,wxpython,16
virtualenv,setuptools,14
pip,lxml,14
numpy,ipython,14
pandas,html,14
matplotlib,pip,14
json,pickle,14
json,string,14
virtualenv,matplotlib,14
pyqt4,matplotlib,14
string,datetime,14
json,pymongo,14
jinja2,html,14
scipy,statsmodels,14
pip,mysql-python,12
multiprocessing,subprocess,12
pyqt,py2exe,12
tkinter,wxpython,12
matplotlib,spyder,12
random,string,12
nltk,tokenize,12
json,html,12
pip,tensorflow,12
opencv,scikit-image,12
regex,pandas,10
csv,string,10
pygame,pip,10
regex,nltk,10
pandas,types,10
pandas,heatmap,10
numpy,string,10
wxpython,py2exe,10
ctypes,pywin32,10
pygame,tkinter,10
matplotlib,sympy,10
io,pandas,10
multiprocessing,scikit-learn,10
pip,ipython,10
numpy,types,10
html,cgi,10
pandas,multiprocessing,10
string,numbers,10
pip,scipy,8
logging,multiprocessing,8
numpy,warnings,8
cython,scipy,8
random,scipy,8
pip,ssl,8
csv,tensorflow,8
string,html,8
virtualenv,opencv,8
string,decimal,8
logging,subprocess,8
tkinter,opencv,8
time,tkinter,8
matplotlib,statsmodels,8
pdb,ipython,8
ipython,spyder,8
nltk,scikit-learn,8
numba,pandas,8
numpy,scikit-image,8
gzip,zlib,8
matplotlib,bokeh,8
pip,pandas,8
concurrent.futures,multiprocessing,8
io,numpy,8
ctypes,cython,8
pandas,jupyter,8
virtualenv,mysql-python,8
pygraphviz,networkx,8
numpy,pillow,8
datetime,sqlalchemy,8
numpy,networkx,8
numpy,theano,8
sqlite3,datetime,8
numpy,mysql-python,8
virtualenv,distutils,8
numpy,itertools,8
tkinter,multiprocessing,8
matplotlib,jupyter,8
time,timeit,6
optparse,argparse,6
tkinter,subprocess,6
csv,io,6
struct,ctypes,6
time,pytz,6
numpy,json,6
pyqt,numpy,6
mayavi,vtk,6
mako,jinja2,6
virtualenv,scipy,6
matplotlib,rpy2,6
tensorflow,scikit-learn,6
datetime,json,6
html,matplotlib,6
email,html,6
twisted,tornado,6
sqlite3,sqlalchemy,6
pygame,pyglet,6
opencv,scipy,6
logging,warnings,6
virtualenv,pygtk,6
pyqt,wxpython,6
cython,pickle,6
pip,pyodbc,6
datetime,calendar,6
pandas,pymongo,6
csv,matplotlib,6
virtualenv,tensorflow,6
matplotlib,scikit-learn,6
py2exe,pywin32,6
scipy,mayavi,6
csv,scipy,6
pyqt,multiprocessing,6
multiprocessing,opencv,6
logging,console,6
math,sympy,6
numpy,setuptools,6
matplotlib,mayavi,6
ipython,pyqt,6
matplotlib,cartopy,6
multiprocessing,wxpython,6
multiprocessing,py2exe,6
datetime,python-dateutil,6
pandas,bokeh,6
twisted,multiprocessing,6
pyqt4,py2exe,6
logging,wxpython,6
readline,ipython,6
json,sqlalchemy,6
numeric,scipy,6
matplotlib,python-dateutil,6
pandas,random,6
ipython,html,6
pandas,pickle,6
math,datetime,4
matplotlib,scikit-image,4
string,types,4
subprocess,pty,4
regex,numbers,4
io,multiprocessing,4
numbers,types,4
io,string,4
pytables,scipy,4
csv,datetime,4
random,numbers,4
json,pprint,4
pprint,string,4
json,jinja2,4
csv,regex,4
decimal,fractions,4
regex,pyparsing,4
ipython,biopython,4
pip,nltk,4
select,subprocess,4
pip,pillow,4
multiprocessing,gevent,4
pandas,lxml,4
pandas,networkx,4
numpy,copy,4
pyqt,subprocess,4
pygame,wxpython,4
pickle,shelve,4
pyqt4,opencv,4
matplotlib,warnings,4
theano,scipy,4
matplotlib,pygtk,4
twisted,py2exe,4
tkinter,string,4
string,base64,4
twisted,gevent,4
pandas,rpy2,4
pyyaml,json,4
cython,string,4
pymc,statsmodels,4
numpy,heatmap,4
tkinter,py2exe,4
statsmodels,scikit-learn,4
pandas,calendar,4
struct,cython,4
pyodbc,sqlalchemy,4
pyside,matplotlib,4
virtualenv,zlib,4
pickle,scikit-learn,4
itertools,pandas,4
pyqt,opencv,4
pygame,math,4
regex,email,4
matplotlib,reportlab,4
pandas,tensorflow,4
pygame,py2exe,4
pandas,zipline,4
matplotlib,multiprocessing,4
numeric,numpy,4
numpy,blaze,4
opencv,cython,4
matplotlib,pyserial,4
pip,pytz,4
ctypes,opencv,4
libsvm,scikit-learn,4
json,tornado,4
multiprocessing,scipy,4
ssl,py2exe,4
numpy,mmap,4
matplotlib,polygon,4
logging,traceback,4
pandas,nltk,4
random,math,4
pandas,mysql-python,4
ipython,scipy,4
opencv,tensorflow,4
pandas,pyodbc,4
virtualenv,numpy,4
py2exe,pyside,4
pip,pyqt,4
logging,syslog,4
datetime,pymongo,4
sqlite3,pysqlite,4
numpy,numbers,4
itertools,string,4
gensim,nltk,4
lxml,setuptools,4
pandas,warnings,4
scipy,scikit-image,4
scipy,wave,4
multiprocessing,tornado,4
numpy,spyder,4
csv,sqlite3,4
regex,tokenize,4
