Source,Target,Weight
theano,tensorflow,14
tensorflow,theano,14
numpy,pandas,9
pandas,numpy,9
http,requests,8
requests,http,8
jupyter,ipython,7
ipython,jupyter,7
pandas,matplotlib,6
matplotlib,pandas,6
numpy,scipy,5
csv,pandas,5
pyside,pyqt4,5
pandas,csv,5
pandas,scikit-learn,5
scikit-learn,pandas,5
scipy,numpy,5
pyqt4,pyside,5
numpy,opencv,4
numpy,matplotlib,4
numpy,tensorflow,4
json,pandas,4
json,html,4
pandas,json,4
html,json,4
opencv,numpy,4
opencv,tensorflow,4
virtualenv,pip,4
pip,virtualenv,4
matplotlib,numpy,4
tensorflow,numpy,4
tensorflow,opencv,4
numpy,scikit-learn,3
numpy,math,3
csv,json,3
csv,html,3
threading,multiprocessing,3
json,csv,3
json,http,3
console,logging,3
pandas,scipy,3
pandas,bokeh,3
peewee,sqlalchemy,3
logging,console,3
scikit-learn,numpy,3
scikit-learn,scipy,3
scikit-learn,tensorflow,3
math,numpy,3
math,matplotlib,3
html,csv,3
datetime,time,3
http,json,3
http,ssl,3
scipy,pandas,3
scipy,scikit-learn,3
scipy,matplotlib,3
sqlalchemy,peewee,3
multiprocessing,threading,3
time,datetime,3
ssl,http,3
bokeh,pandas,3
bokeh,matplotlib,3
matplotlib,math,3
matplotlib,scipy,3
matplotlib,bokeh,3
tensorflow,scikit-learn,3
numpy,quaternion,2
numpy,fasttext,2
numpy,csv,2
numpy,cupy,2
numpy,json,2
numpy,html,2
numpy,theano,2
numpy,cython,2
jupyter,tensorflow,2
quaternion,numpy,2
twisted,logging,2
fasttext,numpy,2
fasttext,gensim,2
fasttext,tensorflow,2
gdal,cython,2
tokenize,parser,2
csv,numpy,2
cupy,numpy,2
json,numpy,2
json,xml,2
pandas,math,2
pandas,html,2
pandas,tensorflow,2
xgboost,scikit-learn,2
xml,json,2
parser,tokenize,2
parser,pyparsing,2
gensim,fasttext,2
gensim,scikit-learn,2
logging,twisted,2
scikit-learn,xgboost,2
scikit-learn,gensim,2
scikit-learn,matplotlib,2
math,pandas,2
html,numpy,2
html,pandas,2
http,aiohttp,2
pyparsing,parser,2
aiohttp,http,2
theano,numpy,2
matplotlib,scikit-learn,2
matplotlib,tensorflow,2
tensorflow,jupyter,2
tensorflow,fasttext,2
tensorflow,pandas,2
tensorflow,matplotlib,2
cython,numpy,2
cython,gdal,2
